ID	author	Name	significant	significant direction	direction description	Delete	Country.of.Expirement	Size..n.	Industry.of.Participant	Gender	Nature.Type	Real.Exposure.Type	Exposure.Time..Mins.	Before_COVID	During_COVID	After_COVID	Field	Lab	Survey	Interviews	Stimuli_Visual	Stimuli_Auditory	Stimuli_Tactile	Stimuli_Olfactory	Stimuli_Thermal	Subjective	Objective	Row_ID	dep_var_1	dep_var_2	dep_var_3	dep_var_4	dep_var_5	dep_var_6	dep_var_7	dep_var_8	dep_var_9	assmnt_1	assmnt_2	assmnt_3	assmnt_4	assmnt_5	assmnt_6	assmnt_7	assmnt_8	assmnt_9	phys_assmnt_1	phys_assmnt_2	phys_assmnt_3	phys_assmnt_4	phys_assmnt_5	phys_assmnt_6	phys_assmnt_7	phys_assmnt_8	phys_assmnt_9	Column1	Column2	Column3	Column4	Column5
47	L‚ger and Mekari (2022)	Simulating the Benefits of Nature Exposure on Cognitive Performance in Virtual Reality: A Window into Possibilities for Education and Cognitive Health	yes	positive	Faster completion time after both real and virtual nature walks	NA	Canada	78	Academia	Mixed	Both	Both	5	0	0	1	1	1	0	0	1	1	0	0	0	1	1	72	Executive Function	Memory	NA	NA	NA	NA	NA	NA	NA	"Trail Making Test (TMT, Part B)"	Digit Span Test	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
48	Lei et al. (2021)	A quantitative study for indoor workplace biophilic design to improve health and productivity performance	no			NA	"Singapore, Hong Kong"	15	Office worker	Mixed	Both	Both	5	0	0	0	0	1	0	0	1	0	0	0	0	1	1	2	Stress	Relaxation	Arousal	Perceived Restorativeness	Reaction Speed	Attention	Working Memory	NA	NA	NA	NA	NA	Perceived Restorativeness Scale (PRS)	Visual Reaction Time Task (VRTT)	Stroop Test	Working Memory Task	NA	NA	Heart Rate Variability (HRV)	Electroencephalogram (EEG)	Electrodermal Activity (EDA)	NA	NA	NA	NA	NA	NA					
49	Li et al. (2021)	Effect of a Virtual Reality-Based Restorative Environment on the Emotional and Cognitive Recovery of Individuals with Mild-to-Moderate Anxiety and Depression	yes	negative	reduction	NA	China	189	Academia	Mixed	Artificial/Virtual	Indirect	10	0	1	0	0	1	0	0	1	0	0	0	0	1	1	32	Anxiety	Depression	Positive and Negative Affect	Self-Efficacy	Cognitive Engagement	Physical Participation	NA	NA	NA	State-Trait Anxiety Inventory (STAI)	Self-Rating Depression Scale (SDS)	Positive and Negative Affect Scale (PANAS)	General Self-Efficacy Scale (GSES)	NA	NA	NA	NA	NA	NA	NA	NA	NA	Electroencephalography (EEG)	Electromyography (EMG)	NA	NA	NA					
50	Li et al. (2024)	Nature connectedness connects the visibility of trees through windows and mental wellbeing: a study on the ?3 visible trees? component of the 3-30-300 rule				NA	China	292	Academia	"Mostly Female (75%+)
"	NA	NA	0	0	0	1	0	0	1	0	NA	NA	NA	NA	NA	1	0	82	Mental Wellbeing	NA	NA	NA	NA	NA	NA	NA	NA	WHO-5 Wellbeing Index	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
51	Liu et al. (2021)	"Natural outdoor environments and subjective well-being in Guangzhou, China: Comparing different measures of access"				NA	China	1150	NA	Mixed	NA	NA	0	1	0	0	0	0	1	0	NA	NA	NA	NA	NA	1	0	79	Life Satisfaction	Positive Affect	Negative Affect	NA	NA	NA	NA	NA	NA	Satisfaction with Life Scale (SWLS)	Positive and Negative Affect Schedule (PANAS)	Positive and Negative Affect Schedule (PANAS)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
52	Liu et al. (2024)	Psychological influence of sky view factor and green view index on daytime thermal comfort of pedestrians in Shanghai	yes	positive	Higher thermal sensation with higher Sky View Factor (SVF)	NA	China	87	NA	Mixed	Real	Direct	5.5	0	0	1	0	0	1	0	1	0	0	0	1	1	1	89	Thermal Sensation	Thermal Satisfaction	NA	NA	NA	NA	NA	NA	NA	Thermal Sensation Vote (TSeV)	Thermal Sensation Vote (TSeV)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
53	Maric et al. (2021)	The Effects of Open Space on Reducing Workplace Stress: Case Study of Business Park in the Post-Socialist Urban Setting	yes	negative	Lower perceived stress levels in employees who frequently use open spaces in the workplace	NA	Serbia	235	Mixed	Mixed	Real	Direct	15	1	1	0	1	0	0	0	NA	NA	NA	NA	NA	1	1	103	Stress Level	NA	NA	NA	NA	NA	NA	NA	NA	Perceived Stress Scale (PSS)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
54	Marois et al. (2021)	The Differential Impact of Mystery in Nature on Attention: An Oculometric Study	yes	positive	Higher fascination ratings for high-mystery images compared to low-mystery images	NA	United States	50	Academia	Mixed	Artificial/Virtual	NA	0.083	0	1	0	0	1	0	0	1	0	0	0	0	1	1	101	Fascination Ratings	Pupil Dilation	Number of Fixations	Blink Frequency	NA	NA	NA	NA	NA	Shortened Perceived Restorativeness Scale (SPRS)	NA	NA	NA	NA	NA	NA	NA	NA	NA	Tobii TX300 Eye Tracker	Tobii TX300 Eye Tracker	Tobii TX300 Eye Tracker	NA	NA	NA	NA	NA					
55	Marques et al. (2021)	Home gardens can be more important than other urban green infrastructure for mental well-being during COVID-19 pandemics				NA	Brazil	173	NA	"Mostly Female (75%+)
"	NA	NA	0	0	1	0	0	0	1	0	NA	NA	NA	NA	NA	1	0	55	Mental Distress	Green Infrastructure Exposure	NA	NA	NA	NA	NA	NA	NA	Depression Anxiety Stress Scale (DASS-21)	Self-reported interaction with urban green infrastructure survey	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
56	McFarland (2017)	"The relationship between the use of green spaces and public gardens in the work place on mental well-being, quality of life, and job satisfaction for employees and volunteers"				NA	United States	105	Mixed	NA	NA	NA	0	1	0	0	0	0	1	0	NA	NA	NA	NA	NA	1	0	105	Mental Well-being	Quality of Life	Job Satisfaction	NA	NA	NA	NA	NA	NA	Warwick-Edinburgh Mental Well-being Scale (WEMWBS)	"Single-item questions based on validated scales (e.g., ""How do you feel today?"")"	"Single-item question: ""Overall, how satisfied are you with your job?"""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
57	Meneguzzo et al. (2021)	Short-Term Effects of Forest Therapy on Mood States: A Pilot Study	yes	negative		NA	Italy	162	NA	Mixed	Real	Direct	210	0	1	0	1	0	1	0	1	1	1	0	0	1	1	96	Anxiety	Depression	Anger	Confusion	NA	NA	NA	NA	NA	Profile of Mood States (POMS)	Profile of Mood States (POMS)	Profile of Mood States (POMS)	Profile of Mood States (POMS)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
58	Mihandoust et al. (2021)	Exploring the Relationship Between Perceived Visual Access to Nature and Nurse Burnout	yes	negative	Higher perceived nature views associated with lower emotional exhaustion	NA	United States	51	Healthcare	Female	Real	Direct	108	1	0	0	1	0	0	0	1	0	0	0	0	1	0	75	Emotional Exhaustion	Depersonalization	Personal Accomplishment	NA	NA	NA	NA	NA	NA	Maslach Burnout Inventory (MBI)	Maslach Burnout Inventory (MBI)	Maslach Burnout Inventory (MBI)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
59	Mihara et al. (2023)	How does green coverage ratio and spaciousness affect self-reported performance and mood?	yes	positive	More positive moods in high-greenery conditions	NA	Singapore	90	Office worker	Mixed	Artificial/Virtual	Indirect	2	0	0	1	0	0	0	0	1	0	0	0	0	0	1	58	Mood States	Heart Rate Variability (HRV)	Environmental Satisfaction	NA	NA	NA	NA	NA	NA	Circumplex Model of Affect	NA	5-point Satisfaction Scale	NA	NA	NA	NA	NA	NA	NA	Heart Rate Sensor (Polar H10)	NA	NA	NA	NA	NA	NA	NA					
60	Morse et al. (2021)	"Creativity and Leisure During COVID-19: Examining the Relationship Between Leisure Activities, Motivations, and Psychological Well-Being"				NA	"United Kingdom, United States, Mix"	3827	Mixed	Mixed	NA	NA	0	0	1	0	0	0	1	0	NA	NA	NA	NA	NA	1	0	24	Psychological Well-Being	Leisure Motivation	NA	NA	NA	NA	NA	NA	NA	World Health Organization Five Well-Being Index (WHO-5)	Crandall Leisure Motivations Instrument	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
61	Moskaliuk et al. (2017)	Environmental effects on cognition and decision making of knowledge workers	no	positive	Faster reaction times in a lexical decision task	NA	Germany	58	Knowledge workers	"Mostly Female (75%+)
"	Artificial/Virtual	Indirect	5	1	0	0	0	1	0	0	1	0	0	0	0	1	1	40	Attention	Decision Making	Concentration	NA	NA	NA	NA	NA	NA	Lexical Decision Task (LDT)	Holt-Laury Lottery	Psychomeda Concentration Test (KONT-P)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
62	Nieuwenhuijsen et al. (2022)	The evaluation of the 3-30-300 green space rule and mental health				NA	", Spain"	3145	NA	Mixed	NA	NA	0	1	0	0	0	0	1	0	NA	NA	NA	NA	NA	1	1	108	Mental Health	Medication Use	Psychiatrist/Psychologist Visits	NA	NA	NA	NA	NA	NA	General Health Questionnaire (GHQ-12)	Self-reported use of antidepressants or sedatives	Self-reported visits in the last 12 months	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
63	Oswald et al. (2021)	"Mental Health of Young Australians during the COVID-19 Pandemic: Exploring the Roles of Employment Precarity, Screen Time, and Contact with Nature"				NA	Australia	1004	Academia	Mixed	NA	NA	0	0	1	0	0	0	1	0	NA	NA	NA	NA	NA	1	0	74	Psychological Distress	Mental Well-Being	NA	NA	NA	NA	NA	NA	NA	Kessler Psychological Distress Scale (K-10)	Mental Health Continuum-Short Form (MHC-SF)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
64	Patwary et al. (2024)	Exposure to urban green spaces and mental health during the COVID-19 pandemic: evidence from two low and lower-middle-income countries				NA	Mix	1216	NA	Mixed	NA	NA	0	0	1	0	0	0	1	0	NA	NA	NA	NA	NA	1	0	85	Depression	Anxiety	NA	NA	NA	NA	NA	NA	NA	Patient Health Questionnaire-2 (PHQ-2)	Generalized Anxiety Disorder-2 (GAD-2)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
65	Pfeiffer et al. (2021)	The importance of urban planning: Views of greenness and open space is reversely associated with self-reported views and depressive symptoms				NA	United States	191	NA	Mixed	NA	NA	0	1	0	0	0	0	1	0	NA	NA	NA	NA	NA	1	0	109	Depressive Symptoms	Satisfaction with Greenness	NA	NA	NA	NA	NA	NA	NA	Patient Health Questionnaire-9 (PHQ-9)	Self-reported scale (1?10)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
66	Popov et al. (2023)	Does nature work? Effects of workplace greenery on employee well-being				NA	Slovenia	130	Public Sector	Mixed	NA	NA	0	0	0	0	0	0	1	0	NA	NA	NA	NA	NA	1	0	87	Burnout	Work Engagement	NA	NA	NA	NA	NA	NA	NA	Copenhagen Burnout Inventory (CBI)	Utrecht Work Engagement Scale (UWES-9)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
67	Pouso et al. (2021)	Contact with blue-green spaces during the COVID-19 pandemic lockdown beneficial for mental health				NA	"Mix, Spain"	3403	Mixed	Mixed	NA	NA	0	0	0	0	0	0	1	0	NA	NA	NA	NA	NA	1	0	20	Anxiety	Depression	Psychological Distress	Mood	NA	NA	NA	NA	NA	Generalized Anxiety Disorder Scale (GAD-2)	Patient Health Questionnaire (PHQ-2)	Patient Health Questionnaire-4 (PHQ-4)	Self-assessment of emotions (based on Plutchik's wheel)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
68	Rajoo et al. (2020)	Forest Therapy: An environmental approach to managing stress in middle-aged working women	yes	positive	Participants reported feeling rejuvenated and at ease at work	NA	Malaysia	19	Service	Female	Real	Direct	180	1	1	0	1	0	0	0	1	0	1	0	0	1	1	46	Stress Levels	Blood Pressure	Pulse Rate	NA	NA	NA	NA	NA	NA	Self-evaluation Questionnaire (Likert Scale)	NA	NA	NA	NA	NA	NA	NA	NA	NA	Systolic and Diastolic Blood Pressure Measurement	Pulse Rate Measurement	NA	NA	NA	NA	NA	NA					
69	Rajoo et al. (2021)	Addressing psychosocial issues caused by the COVID-19 lockdown: Can urban greeneries help?	yes	negative	reduction	NA	Malaysia	30	NA	Mixed	Real	Direct	20	0	1	0	1	0	0	0	1	1	1	0	0	1	0	7	Stress	Anxiety	Depression	NA	NA	NA	NA	NA	NA	Depression Anxiety Stress Scale (DASS-21)	Depression Anxiety Stress Scale (DASS-21)	Depression Anxiety Stress Scale (DASS-21)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
70	Rastkhadiv et al. (2024)	"Effects of Nature-Based Solutions on Mental Well-Being?The Case of Urban Parks in Marivan, Iran"				NA	Iran	227	NA	Mixed	NA	NA	0	0	0	1	0	0	1	0	NA	NA	NA	NA	NA	1	0	33	Mental Well-Being	Perceptual Indicator	Visual Indicator	Functional Indicator	NA	NA	NA	NA	NA	"Structural Equation Modeling (via questionnaire indicators: perceptual, visual, functional)"	Indicators such as sensory stimulation and sense of security	Indicators such as biodiversity and visual quality	Indicators such as physical activity and social interactions	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
71	Rhee et al. (2023)	Effects of nature on restorative and cognitive benefits in indoor environment	yes	positive	increase	NA	South Korea	30	NA	Mixed	Real	Direct	5	0	0	1	1	1	0	0	1	0	0	0	0	0	1	36	Restorative Quality	Working Memory	Cognitive Load and Stress	NA	NA	NA	NA	NA	NA	Perceived Restorativeness Scale (PRS-11)	Backward Digit Span Task	NA	NA	NA	NA	NA	NA	NA	NA	NA	Electroencephalography (EEG)	NA	NA	NA	NA	NA	NA					
72	Ribeiro et al. (2021)	Exposure to nature and mental health outcomes during COVID-19 lockdown. A comparison between Portugal and Spain				NA	Mix	3157	Mixed	"Mostly Female (75%+)
"	NA	NA	0	0	1	0	0	0	1	0	NA	NA	NA	NA	NA	1	0	44	Psychological Distress	Somatization	Perceived Stress	NA	NA	NA	NA	NA	NA	General Health Questionnaire-12 (GHQ-12)	Adapted Four-Dimensional Symptom Questionnaire (4DSQ)	Visual Analog Stress Scale	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
73	Richter et al. (2019)	Visually deficient working conditions and reduced work performance in office workers: Is it mediated by visual discomfort?				NA	Sweden	86	Office worker	Mixed	NA	NA	0	1	0	0	0	0	1	0	NA	NA	NA	NA	NA	1	0	116	Visual Performance	Visual Discomfort	NA	NA	NA	NA	NA	NA	NA	Self-rated visual performance survey	"Visual discomfort index (Knave et al., 1985)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
74	Ruotolo et al. (2024)	Well-being and multisensory urban parks at different ages: The role of interoception and audiovisual perception	yes	age dependent	"Emotional evaluations of parks varied by age, with young individuals focusing on visual aspects and elderly individuals prioritizing auditory aspects"	NA	Italy	100	NA	Mixed	Artificial/Virtual	NA	3.5	0	0	1	0	1	0	0	1	1	0	0	0	1	0	123	Positive Emotional Response	Interoceptive Awareness	Cross-Modal Attention	NA	NA	NA	NA	NA	NA	Emotional Appraisal Questionnaire	Multidimensional Assessment of Interoceptive Awareness (MAIA)	Cross-Modal Attention	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
75	Sadatsafavi et al. (2015)	"Factors influencing evaluation of patient areas, work spaces, and staff areas by healthcare professionals"				NA	United States	496	Healthcare	Mixed	NA	NA	0	1	0	0	0	0	1	0	NA	NA	NA	NA	NA	1	0	45	Employee Satisfaction with the Physical Environment	NA	NA	NA	NA	NA	NA	NA	NA	Self-reported questionnaire on 27 environmental features	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
76	Sahlin et al. (2015)	Using Nature-Based Rehabilitation to Restart a Stalled Process of Rehabilitation in Individuals with Stress-Related Mental Illness				NA	Sweden	57	Public Sector	"Mostly Female (75%+)
"	NA	NA	0	1	0	0	1	0	1	1	NA	NA	NA	NA	NA	1	1	113	Burnout	Depression	Anxiety	Well-being	NA	NA	NA	NA	NA	Shirom-Melamed Burnout Questionnaire (SMBQ)	Beck Depression Inventory-II (BDI-II)	Beck Anxiety Inventory (BAI)	Psychological General Well-Being Index (PGWB)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
77	Salamone et al. (2020)	Correlation between indoor environmental data and biometric parameters for the impact assessment of a living wall in a ZEB lab	yes	positive	increase	NA	Italy	9	NA	NA	Real	Direct	300	1	0	0	1	1	0	0	1	0	0	0	0	1	1	22	"Biometric Responses (Skin Temp, Heart Rate)"	Electrodermal Activity (EDA)	Environmental Comfort	NA	NA	NA	NA	NA	NA	NA	NA	Questionnaire-based (5-point Likert scale on IEQ factors)	NA	NA	NA	NA	NA	NA	"Skin Temperature Sensor, Heart Rate Sensor"	Electrodermal Activity Sensor	NA	NA	NA	NA	NA	NA	NA					
78	Scott et al. (2023)	Measuring affect and complex working memory in natural and urban environments	yes	both	"Increased positive affect post-walk (both nature & urban)	, Decreased negative affect post-walk (both nature & urban)"	NA	United States	100		"Mostly Female (75%+)
"	Real	Direct	90	0	1	0	1	0	1	0	1	1	1	0	0	1	1	73	Affect (Positive and Negative)	Working Memory	NA	NA	NA	NA	NA	NA	NA	Positive and Negative Affect Schedule (PANAS)	Operation Span Task (OSPAN)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
79	Shen et al. (2023)	Exploring the relationship between home environmental characteristics and restorative effect through neural activities	yes	positive	Certain home characteristics predict higher restorative potential	NA	China	81	Academia	Mixed	Artificial/Virtual	Indirect	3	0	1	0	0	1	0	0	1	0	0	0	0	1	1	43	Restorative	Neural Activity (Restorativeness)	Visual Attention	NA	NA	NA	NA	NA	NA	"Restorative Component Questionnaire (Laumann et al., 2001)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Electroencephalography (EEG), Hemoglobin Concentration (Neu-VR)"	"Eye-Tracking (Pupil Radius, Gaze Position, Blink Frequency)"	NA	NA	NA	NA	NA	NA					
80	Shentova et al. (2022)	Well-Being in the Time of Corona: Associations of Nearby Greenery with Mental Well-Being during COVID-19 in The Netherlands				NA	Netherlands	521	NA	Mixed	NA	NA	0	0	1	0	0	0	1	0	NA	NA	NA	NA	NA	1	0	95	Mental Well-Being	NA	NA	NA	NA	NA	NA	NA	NA	General Health Questionnaire-12 (GHQ-12)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
81	Siba et al. (2020)	Investigating the use and constraints associated with green outdoor environment at workplaces: What do the office employees in Kuala Lumpur say?				NA	Malaysia	326	Mixed	Mixed	NA	NA	0	1	0	0	0	0	1	0	NA	NA	NA	NA	NA	1	0	63	Stress Levels	Usage of Green Outdoor Environment	NA	NA	NA	NA	NA	NA	NA	Self-reported questionnaire (Likert Scale for stress levels)	"Survey on frequency, duration, and motives of GOE usage"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
82	Silva et al. (2024)	Nature Features' Contribution to the Well-Being of Essential Workers During COVID-19 Pandemic in Portugal				NA	Portugal	191	Mixed	"Mostly Female (75%+)
"	NA	NA	0	0	1	0	0	0	1	0	NA	NA	NA	NA	NA	1	0	97	Quality of Life	Professional Quality of Life	NA	NA	NA	NA	NA	NA	NA	WHOQOL-BREF	Professional Quality of Life Scale (ProQOL)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
83	Soga et al. (2017)	Health Benefits of Urban Allotment Gardening: Improved Physical and Psychological Well-Being and Social Integration				NA	Japan	332	Gardener	Mixed	NA	NA	0	1	0	0	0	0	1	0	NA	NA	NA	NA	NA	1	0	49	Perceived General Health	Subjective Health Complaints	Mental Health	Social Cohesion	NA	NA	NA	NA	NA	Single-item self-assessment	10-item checklist adapted from Subjective Health Complaints Inventory	General Health Questionnaire (GHQ-12)	Social Cohesion and Trust Scale	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
84	Son et al. (2022)	Horticultural Therapy for Improving the Work Performance and Interpersonal Relationships of Persons with Intellectual Disabilities	yes	positive	"Increased grip strength, pinch strength, and hand agility"	NA	South Korea	14	Sheltered workshop	Mixed	Real	Direct	60	0	1	0	1	0	0	0	1	0	1	0	0	1	1	98	Hand Function	NA	NA	NA	NA	NA	NA	NA	NA	Grooved Pegboard Test (GPT)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
85	Souter-Brown et al. (2021)	Effects of a sensory garden on workplace wellbeing: A randomised control trial	yes	negative	reduction	NA	New Zealand	164	Academia	"Mostly Female (75%+)
"	Real	Direct	30	1	0	0	1	1	0	0	1	0	1	0	0	1	1	34	Stress	Wellbeing	Productivity	Nature Relatedness	NA	NA	NA	NA	NA	NA	Flourishing Scale	World Health Organization Health and Work Performance Questionnaire (HPQ)	Nature Relatedness Scale (NR-21)	NA	NA	NA	NA	NA	Salivary Cortisol Sampling	NA	NA	NA	NA	NA	NA	NA	NA					
86	Stigsdotter et al. (2018)	Efficacy of nature-based therapy for individuals with stress-related illnesses: randomised controlled trial	yes	positive	increase	NA	Denmark	84	NA	"Mostly Female (75%+)
"	Real	Direct	180	1	0	0	0	1	0	0	1	1	1	0	0	1	0	38	General Well-Being	Burnout	NA	NA	NA	NA	NA	NA	NA	Psychological General Well-Being Index (PGWBI)	Shirom?Melamed Burnout Questionnaire (SMBQ)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
87	Theodorou et al. (2023)	Different types of virtual natural environments enhance subjective vitality through restorativeness	yes	positive	improvement	NA	Italy	113	Academia	"Mostly Female (75%+)
"	Artificial/Virtual	Indirect	4	0	0	1	0	1	0	0	1	1	0	0	0	NA	NA	27	Restorativeness	Subjective Vitality	NA	NA	NA	NA	NA	NA	NA	Perceived Restorativeness Scale (PRS-11)	Subjective Vitality Scale (state version)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
88	Timm et al. (2018)	Nature and the City: Measuring the Attention Restoration Benefits of Singapore?s Urban Vertical Greenery				NA	Singapore	82	NA	Mixed	NA	NA	0	1	0	0	0	0	1	0	NA	NA	NA	NA	NA	1	0	80	Attention Restoration	NA	NA	NA	NA	NA	NA	NA	NA	Perceived Restorativeness Scale (PRS)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
89	Tung et al. (2023)	Onsite restorative effect of a rural ecological farm versus an urban public greenery space	yes	positive	higher percieved restoration	NA	Taiwan	67	NA	Mixed	Real	Direct	6	0	0	1	1	0	1	0	1	0	0	0	0	1	1	84	Perceived Restorativeness	Stress Levels	NA	NA	NA	NA	NA	NA	NA	Perceived Restorativeness Scale (PRS)	NA	NA	NA	NA	NA	NA	NA	NA	NA	Electromyography (EMG)	NA	NA	NA	NA	NA	NA	NA					
90	Twedt et al. (2016)	Designed Natural Spaces: Informal Gardens Are Perceived to Be More Restorative than Formal Gardens				NA	United States	295	Mixed	Mixed	NA	NA	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	25	Perceived Restorative Potential	Visual Appeal	Naturalness	NA	NA	NA	NA	NA	NA	Perceived Restorativeness Scale (PRS)	Self-reported visual appeal scale (0 to 100)	Self-reported naturalness scale (0 to 100)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
91	šnal et al. (2022)	Is virtual reality a valid tool for restorative environments research?	yes	positive	Stronger preference for natural environments (real & virtual) over urban	NA	Netherlands	23	NA	Mixed	Artificial/Virtual	Indirect	50	0	1	0	0	1	0	0	1	0	0	0	0	1	1	65	Preference	Pleasure	Restoration	NA	NA	NA	NA	NA	NA	"Semantic differential items (e.g., attractive?unattractive)"	"Semantic differential items (e.g., happy?sad)"	Self-reported restoration scale	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
92	van den Berg and Beute (2021)	Walk it off! The effectiveness of walk and talk coaching in nature for individuals with burnout- and stress-related complaints	yes	negative		NA	Netherlands	40	NA	"Mostly Female (75%+)
"	Real	Direct	90	0	0	1	1	0	0	0	1	0	0	1	0	1	1	117	Burnout Symptoms	Mental Health Problems	Self-Esteem	Work Engagement	Mindfulness	Satisfaction with Life	NA	NA	NA	Utrecht Burnout Scale (UBOS)	Four-Dimensional Symptom Questionnaire (4DSQ)	State Self-Esteem Scale	Utrecht Work Engagement Scale (UWES)	Freiburg Mindfulness Inventory (Short)	Cantril Ladder	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
93	Wagenfeld et al. (2018)	Addressing Correctional Staff Stress through Interaction with Nature: A New Role for Occupational Therapy	yes	negative	reduction	NA	United States	1135	Correctional facilities	Mixed	NA	NA	0	1	0	0	0	0	1	0	NA	NA	NA	NA	NA	1	0	6	Stress Levels	Coping Strategies	Desire for Decompression Area	NA	NA	NA	NA	NA	NA	Likert Scale for Stress Levels	Survey on Coping Strategies	Survey on Desire for Outdoor Decompression Spaces	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
94	Wang et al. (2021)	"Are greenspace quantity and quality associated with mental health through different mechanisms in Guangzhou, China: A comparison study using street view data"	yes	positive	improvement	NA	China	1003	NA	Mixed	NA	NA	0	1	0	0	0	0	1	0	NA	NA	NA	NA	NA	1	0	8	Mental Health (Well-being)	Stress	Life Satisfaction	Social Cohesion	NA	NA	NA	NA	NA	World Health Organization Well-Being Index (WHO-5)	"Self-reported scale (1 = Never, 5 = Always)"	Satisfaction With Life Scale (SWLS)	Social Cohesion Scale	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
95	Wang et al. (2021)	"Dynamic greenspace exposure and residents? mental health in Guangzhou, China: From over-head to eye-level perspective, from quantity to quality"				NA	China	1003	Mixed	Mixed	NA	NA	0	0	1	0	0	0	1	0	NA	NA	NA	NA	NA	1	1	30	Mental Wellbeing	Greenspace Exposure Quality	Greenspace Exposure Quantity	NA	NA	NA	NA	NA	NA	World Health Organization Well-Being Index (WHO-5)	Street View Greenness Quality (SVG-quality) via image analysis	Normalized Difference Vegetation Index (NDVI)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
96	Wang et al. (2022)	"Neighbourhood greenspace quantity, quality and socioeconomic inequalities in mental health"				NA	China	1003	NA	Mixed	NA	NA	0	1	0	0	0	0	1	0	NA	NA	NA	NA	NA	1	0	83	Depression	Anxiety	NA	NA	NA	NA	NA	NA	NA	SCL-90 Depression Subscale	SCL-90 Anxiety Subscale	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
